12개월누적수익률(퍼센트),1개월누적수익률(퍼센트),3개월누적수익률(퍼센트),6개월누적수익률(퍼센트),상품명,선취수수료(퍼센트),운용사명,총보수(퍼센트),펀드등급,펀드유형
"17.99","3.07","7.17","7.32","미래에셋미국배당프리미엄C-P(주식)(H)","0.0000","미래에셋자산운용","1.360",3,"주식형"
"18.40","3.10","7.26","7.50","미래에셋미국배당프리미엄C-Pe(주식)(H)","0.0000","미래에셋자산운용","1.010",3,"주식형"
"14.58","3.79","5.65","6.50","미래에셋글로벌솔루션A(주식-재간접형)","1.0000","미래에셋자산운용","1.050",3,"재간접투자"
"14.92","3.81","5.73","6.66","미래에셋글로벌솔루션A-e(주식-재간접형)","0.5000","미래에셋자산운용","0.750",3,"재간접투자"
"14.22","3.76","5.57","6.33","미래에셋글로벌솔루션C(주식-재간접형)","0.0000","미래에셋자산운용","1.370",3,"재간접투자"
"14.74","3.80","5.69","6.57","미래에셋글로벌솔루션C-e(주식-재간접형)","0.0000","미래에셋자산운용","0.910",3,"재간접투자"
"14.43","3.77","5.62","6.43","미래에셋글로벌솔루션C-P(주식-재간접형)","0.0000","미래에셋자산운용","1.180",3,"재간접투자"
"14.85","3.81","5.71","6.63","미래에셋글로벌솔루션C-Pe(주식-재간접형)","0.0000","미래에셋자산운용","0.810",3,"재간접투자"
"15.67","3.40","6.78","5.48","미래에셋배당프리미엄A-G(주식혼합)","0.7000","미래에셋자산운용","0.820",3,"주식혼합형"
"15.26","3.37","6.68","5.30","미래에셋배당프리미엄C-G(주식혼합)","0.0000","미래에셋자산운용","1.180",3,"주식혼합형"
"25.19","7.65","5.81","11.07","미래에셋인디아솔로몬1호(주식)A-G","0.7000","미래에셋자산운용","1.620",2,"주식형"
"-15.87","-7.23","-9.38","-13.33","미래에셋 차이나H 인덱스(주식) A","1.0000","미래에셋자산운용","0.840",1,"주식형"
"-15.67","-7.21","-9.32","-13.23","미래에셋 차이나H 인덱스(주식) A-e","0.5000","미래에셋자산운용","0.610",1,"주식형"
"-16.16","-7.26","-9.46","-13.48","미래에셋 차이나H 인덱스(주식) C","0.0000","미래에셋자산운용","1.180",1,"주식형"
"-15.82","-7.23","-9.36","-13.30","미래에셋 차이나H 인덱스(주식) C-e","0.0000","미래에셋자산운용","0.780",1,"주식형"
"-16.07","-7.25","-9.43","-13.43","미래에셋 차이나H 인덱스(주식) C-P","0.0000","미래에셋자산운용","1.080",1,"주식형"
"-15.78","-7.22","-9.35","-13.28","미래에셋 차이나H 인덱스(주식) C-Pe","0.0000","미래에셋자산운용","0.730",1,"주식형"
"-15.48","-7.19","-9.27","-13.12","미래에셋 차이나H 인덱스(주식) F","0.0000","미래에셋자산운용","0.380",1,"주식형"
"28.56","6.45","13.70","8.72","미래에셋글로벌코어테크EMP(주식-재간접)A","1.0000","미래에셋자산운용","1.230",2,"재간접투자"
"28.98","6.48","13.79","8.90","미래에셋글로벌코어테크EMP(주식-재간접)Ae","0.5000","미래에셋자산운용","0.890",2,"재간접투자"
"27.79","6.40","13.54","8.39","미래에셋글로벌코어테크EMP(주식-재간접)C1","0.0000","미래에셋자산운용","1.850",2,"재간접투자"
"28.78","6.47","13.75","8.82","미래에셋글로벌코어테크EMP(주식-재간접)Ce","0.0000","미래에셋자산운용","1.050",2,"재간접투자"
"28.41","6.44","13.67","8.66","미래에셋글로벌코어테크EMP(주식-재간접)CP","0.0000","미래에셋자산운용","1.350",2,"재간접투자"
"28.91","6.47","13.78","8.87","미래에셋글로벌코어테크EMP(주식재간접)CPe","0.0000","미래에셋자산운용","0.950",2,"재간접투자"
"29.41","6.50","13.89","9.09","미래에셋글로벌코어테크EMP(주식-재간접)F","0.0000","미래에셋자산운용","0.550",2,"재간접투자"
"8.50","2.76","4.21","3.25","미래에셋전략배분TDF2025혼합자산A","0.6000","미래에셋자산운용","0.690",4,"재간접투자"
"8.70","2.78","4.26","3.34","미래에셋전략배분TDF2025혼합자산Ae","0.3000","미래에셋자산운용","0.510",4,"재간접투자"
"8.34","2.75","4.17","3.17","미래에셋전략배분TDF2025혼합자산C","0.0000","미래에셋자산운용","0.840",4,"재간접투자"
"8.61","2.77","4.23","3.30","미래에셋전략배분TDF2025혼합자산Ce","0.0000","미래에셋자산운용","0.590",4,"재간접투자"
"8.36","2.75","4.18","3.18","미래에셋전략배분TDF2025혼합자산C-P","0.0000","미래에셋자산운용","0.820",4,"재간접투자"
"8.62","2.77","4.24","3.30","미래에셋전략배분TDF2025혼합자산C-Pe","0.0000","미래에셋자산운용","0.580",4,"재간접투자"
"8.88","2.79","4.30","3.43","미래에셋전략배분TDF2025혼합자산F","0.0000","미래에셋자산운용","0.340",4,"재간접투자"
"10.15","3.03","4.70","3.65","미래에셋전략배분TDF2030혼합자산A","0.6000","미래에셋자산운용","0.750",4,"재간접투자"
"10.37","3.04","4.76","3.75","미래에셋전략배분TDF2030혼합자산Ae","0.3000","미래에셋자산운용","0.550",4,"재간접투자"
"9.97","3.01","4.66","3.56","미래에셋전략배분TDF2030혼합자산C","0.0000","미래에셋자산운용","0.910",4,"재간접투자"
"10.28","3.04","4.73","3.71","미래에셋전략배분TDF2030혼합자산Ce","0.0000","미래에셋자산운용","0.630",4,"재간접투자"
"10.03","3.02","4.67","3.59","미래에셋전략배분TDF2030혼합자산C-P","0.0000","미래에셋자산운용","0.860",4,"재간접투자"
"10.30","3.04","4.74","3.72","미래에셋전략배분TDF2030혼합자산C-Pe","0.0000","미래에셋자산운용","0.610",4,"재간접투자"
"10.57","3.06","4.80","3.85","미래에셋전략배분TDF2030혼합자산F","0.0000","미래에셋자산운용","0.360",4,"재간접투자"
"12.19","3.44","5.56","4.29","미래에셋전략배분TDF2035혼합자산A","0.6000","미래에셋자산운용","0.850",3,"재간접투자"
"12.90","3.46","5.62","4.40","미래에셋전략배분TDF2035혼합자산Ae","0.3000","미래에셋자산운용","0.620",3,"재간접투자"
"12.43","3.42","5.51","4.19","미래에셋전략배분TDF2035혼합자산C","0.0000","미래에셋자산운용","1.040",3,"재간접투자"
"12.80","3.45","5.60","4.36","미래에셋전략배분TDF2035혼합자산Ce","0.0000","미래에셋자산운용","0.710",3,"재간접투자"
"12.60","3.43","5.55","4.27","미래에셋전략배분TDF2035혼합자산C-P","0.0000","미래에셋자산운용","0.890",3,"재간접투자"
"12.88","3.46","5.62","4.39","미래에셋전략배분TDF2035혼합자산C-Pe","0.0000","미래에셋자산운용","0.640",3,"재간접투자"
"13.16","3.48","5.68","4.52","미래에셋전략배분TDF2035혼합자산F","0.0000","미래에셋자산운용","0.390",3,"재간접투자"
"13.27","3.61","6.08","4.67","미래에셋전략배분TDF2040혼합자산A","0.6000","미래에셋자산운용","0.940",3,"재간접투자"
"13.92","3.63","6.15","4.80","미래에셋전략배분TDF2040혼합자산Ae","0.3000","미래에셋자산운용","0.670",3,"재간접투자"
"13.37","3.59","6.03","4.55","미래에셋전략배분TDF2040혼합자산C","0.0000","미래에셋자산운용","1.160",3,"재간접투자"
"13.79","3.63","6.13","4.75","미래에셋전략배분TDF2040혼합자산Ce","0.0000","미래에셋자산운용","0.780",3,"재간접투자"
"13.54","3.61","6.07","4.63","미래에셋전략배분TDF2040혼합자산C-P","0.0000","미래에셋자산운용","1.010",3,"재간접투자"
"13.87","3.63","6.14","4.78","미래에셋전략배분TDF2040혼합자산C-Pe","0.0000","미래에셋자산운용","0.710",3,"재간접투자"
"14.21","3.66","6.22","4.94","미래에셋전략배분TDF2040혼합자산F","0.0000","미래에셋자산운용","0.410",3,"재간접투자"
"13.94","3.65","6.27","4.79","미래에셋전략배분TDF2045혼합자산A","0.6000","미래에셋자산운용","1.030",3,"재간접투자"
"14.28","3.68","6.35","4.95","미래에셋전략배분TDF2045혼합자산Ae","0.3000","미래에셋자산운용","0.730",3,"재간접투자"
"13.66","3.63","6.21","4.67","미래에셋전략배분TDF2045혼합자산C","0.0000","미래에셋자산운용","1.280",3,"재간접투자"
"14.14","3.67","6.32","4.89","미래에셋전략배분TDF2045혼합자산Ce","0.0000","미래에셋자산운용","0.850",3,"재간접투자"
"13.83","3.64","6.25","4.74","미래에셋전략배분TDF2045혼합자산C-P","0.0000","미래에셋자산운용","1.130",3,"재간접투자"
"14.22","3.67","6.34","4.92","미래에셋전략배분TDF2045혼합자산C-Pe","0.0000","미래에셋자산운용","0.740",3,"재간접투자"
"14.61","3.70","6.43","5.10","미래에셋전략배분TDF2045혼합자산F","0.0000","미래에셋자산운용","0.430",3,"재간접투자"
"0.86","0.14","-0.10","-0.89","미래에셋단기채알파(채권혼합)A","0.2000","미래에셋자산운용","0.540",5,"채권혼합형"
"1.01","0.15","-0.06","-0.82","미래에셋단기채알파(채권혼합)A-e","0.1000","미래에셋자산운용","0.390",5,"채권혼합형"
